Ensembl_gene_ID	Ensembl_transcript_ID	Gene_symbol	Intron1	Intron2	Intron3	Intron4	Intron5
ENSG00000094661	ENST00000209540	OR1I1	0				
ENSG00000171942	ENST00000305899	OR10H2	0				
ENSG00000171936	ENST00000641646	OR10H3	3330				
ENSG00000172519	ENST00000642092	OR10H5	6321				
ENSG00000172519	ENST00000308940	OR10H5	0				
ENSG00000186723	ENST00000641419	OR10H1	2676	3388	676		
ENSG00000186723	ENST00000334920	OR10H1	0				
ENSG00000176231	ENST00000641275	OR10H4	1203	3367			
ENSG00000176231	ENST00000322107	OR10H4	0				
ENSG00000130538	ENST00000643195	OR11H1	0				
ENSG00000171054	ENST00000338616	OR13H1	0				
